,Pulse type,Quadrature,Value,Bits
0,ref,Q,0.7867389616848364,111001001010
1,ref,P,0.09064313906409803,100010111001
2,signal,Q,-,-
3,signal,Q,-,-
4,signal,Q,-,-
5,signal,Q,-,-
6,ref,Q,0.7910601875871469,111001010011
7,ref,P,0.08942061025367026,100010110111
8,signal,Q,-,-
9,signal,Q,-,-
10,signal,Q,-,-
11,signal,Q,-,-
12,ref,Q,0.7885287927609755,111001001110
13,ref,P,0.08646679939718074,100010110000
14,signal,Q,-,-
15,signal,Q,-,-
16,signal,Q,-,-
17,signal,Q,-,-
18,ref,Q,0.7880448903219511,111001001101
19,ref,P,0.08591913816207065,100010101111
20,signal,Q,-,-
21,signal,Q,-,-
22,signal,Q,-,-
23,signal,Q,-,-
24,ref,Q,0.7912349637883495,111001010011
25,ref,P,0.08271599777724238,100010101001
26,signal,Q,-,-
27,signal,Q,-,-
28,signal,Q,-,-
29,signal,Q,-,-
30,ref,Q,0.7902344816280428,111001010001
31,ref,P,0.08165073914846607,100010100111
32,signal,Q,-,-
33,signal,Q,-,-
34,signal,Q,-,-
35,signal,Q,-,-
36,ref,Q,0.794337996877907,111001011010
37,ref,P,0.07801018773145935,100010011111
38,signal,Q,-,-
39,signal,Q,-,-
40,signal,Q,-,-
41,signal,Q,-,-
42,ref,Q,0.7968539406517944,111001011111
43,ref,P,0.07585098200453921,100010011011
44,signal,Q,-,-
45,signal,Q,-,-
46,signal,Q,-,-
47,signal,Q,-,-
48,ref,Q,0.7918241368443579,111001010100
49,ref,P,0.0745197268091364,100010011000
50,signal,Q,-,-
51,signal,Q,-,-
52,signal,Q,-,-
53,signal,Q,-,-
54,ref,Q,0.7972419135033947,111001011111
55,ref,P,0.07186562041014737,100010010011
56,signal,Q,-,-
57,signal,Q,-,-
58,signal,Q,-,-
59,signal,Q,-,-
60,ref,Q,0.7952372217122092,111001011011
61,ref,P,0.06940098286994113,100010001110
62,signal,Q,-,-
63,signal,Q,-,-
64,signal,Q,-,-
65,signal,Q,-,-
66,ref,Q,0.7974575734195122,111001100000
67,ref,P,0.06318312213334643,100010000001
68,signal,Q,-,-
69,signal,Q,-,-
70,signal,Q,-,-
71,signal,Q,-,-
72,ref,Q,0.7942557628684209,111001011001
73,ref,P,0.06732338066761295,100010001001
74,signal,Q,-,-
75,signal,Q,-,-
76,signal,Q,-,-
77,signal,Q,-,-
78,ref,Q,0.7993680047361784,111001100100
79,ref,P,0.06375686418758823,100010000010
80,signal,Q,-,-
81,signal,Q,-,-
82,signal,Q,-,-
83,signal,Q,-,-
84,ref,Q,0.7954505960836574,111001011100
85,ref,P,0.06921256284810598,100010001101
86,signal,Q,-,-
87,signal,Q,-,-
88,signal,Q,-,-
89,signal,Q,-,-
90,ref,Q,0.7930046635290696,111001010111
91,ref,P,0.06825882503080391,100010001011
92,signal,Q,-,-
93,signal,Q,-,-
94,signal,Q,-,-
95,signal,Q,-,-
96,ref,Q,0.7965990368282926,111001011110
97,ref,P,0.0720235309612647,100010010011
98,signal,Q,-,-
99,signal,Q,-,-
100,signal,Q,-,-
101,signal,Q,-,-
102,ref,Q,0.7942778009330745,111001011001
103,ref,P,0.07450402514544652,100010011000
104,signal,Q,-,-
105,signal,Q,-,-
106,signal,Q,-,-
107,signal,Q,-,-
108,ref,Q,0.7945208700896685,111001011010
109,ref,P,0.07704769544416094,100010011101
110,signal,Q,-,-
111,signal,Q,-,-
112,signal,Q,-,-
113,signal,Q,-,-
114,ref,Q,0.7922758610281281,111001010101
115,ref,P,0.08337053216656189,100010101010
116,signal,Q,-,-
117,signal,Q,-,-
118,signal,Q,-,-
119,signal,Q,-,-
120,ref,Q,0.7896248184835271,111001010000
121,ref,P,0.08800746007545633,100010110100
122,signal,Q,-,-
123,signal,Q,-,-
124,signal,Q,-,-
125,signal,Q,-,-
126,ref,Q,0.7882518641296296,111001001101
127,ref,P,0.09103271485182174,100010111010
128,signal,Q,-,-
129,signal,Q,-,-
130,signal,Q,-,-
131,signal,Q,-,-
132,ref,Q,0.7858191155224171,111001001000
133,ref,P,0.09631364272337585,100011000101
134,signal,Q,-,-
135,signal,Q,-,-
136,signal,Q,-,-
137,signal,Q,-,-
138,ref,Q,0.7854360394761442,111001000111
139,ref,P,0.10010923574600196,100011001100
140,signal,Q,-,-
141,signal,Q,-,-
142,signal,Q,-,-
143,signal,Q,-,-
144,ref,Q,0.7851102561160974,111001000111
145,ref,P,0.10077291659694798,100011001110
146,signal,Q,-,-
147,signal,Q,-,-
148,signal,Q,-,-
149,signal,Q,-,-
150,ref,Q,0.7789756218643902,111000111010
151,ref,P,0.10713477615324164,100011011011
152,signal,Q,-,-
153,signal,Q,-,-
154,signal,Q,-,-
155,signal,Q,-,-
156,ref,Q,0.7799521055881208,111000111100
157,ref,P,0.10573464386407262,100011011000
158,signal,Q,-,-
159,signal,Q,-,-
160,signal,Q,-,-
161,signal,Q,-,-
162,ref,Q,0.7799243785984405,111000111100
163,ref,P,0.1090790992486359,100011011111
164,signal,Q,-,-
165,signal,Q,-,-
166,signal,Q,-,-
167,signal,Q,-,-
168,ref,Q,0.7825538583427458,111001000001
169,ref,P,0.10600314547658153,100011011000
170,signal,Q,-,-
171,signal,Q,-,-
172,signal,Q,-,-
173,signal,Q,-,-
174,ref,Q,0.7791237475223736,111000111010
175,ref,P,0.10579745053300293,100011011000
176,signal,Q,-,-
177,signal,Q,-,-
178,signal,Q,-,-
179,signal,Q,-,-
180,ref,Q,0.7837606359961014,111001000100
181,ref,P,0.10443140537104023,100011010101
182,signal,Q,-,-
183,signal,Q,-,-
184,signal,Q,-,-
185,signal,Q,-,-
186,ref,Q,0.7856713300455425,111001001000
187,ref,P,0.10082871386915437,100011001110
188,signal,Q,-,-
189,signal,Q,-,-
190,signal,Q,-,-
191,signal,Q,-,-
192,ref,Q,0.7824871370503388,111001000001
193,ref,P,0.09936558700202557,100011001011
194,signal,Q,-,-
195,signal,Q,-,-
196,signal,Q,-,-
197,signal,Q,-,-
198,ref,Q,0.7851102561326828,111001000111
199,ref,P,0.09552157051567646,100011000011
200,signal,Q,-,-
201,signal,Q,-,-
202,signal,Q,-,-
203,signal,Q,-,-
204,ref,Q,0.7828651284496123,111001000010
205,ref,P,0.09469019795462744,100011000001
206,signal,Q,-,-
207,signal,Q,-,-
208,signal,Q,-,-
209,signal,Q,-,-
210,ref,Q,0.787004300730994,111001001010
211,ref,P,0.09002977654175319,100010111000
212,signal,Q,-,-
213,signal,Q,-,-
214,signal,Q,-,-
215,signal,Q,-,-
216,ref,Q,0.7889190366760974,111001001110
217,ref,P,0.09521452594297349,100011000010
218,signal,Q,-,-
219,signal,Q,-,-
220,signal,Q,-,-
221,signal,Q,-,-
222,ref,Q,0.7885742620242013,111001001110
223,ref,P,0.09279646897712462,100010111101
224,signal,Q,-,-
225,signal,Q,-,-
226,signal,Q,-,-
227,signal,Q,-,-
228,ref,Q,0.7883687622802733,111001001101
229,ref,P,0.09169640612286686,100010111011
230,signal,Q,-,-
231,signal,Q,-,-
232,signal,Q,-,-
233,signal,Q,-,-
234,ref,Q,0.7858814936978558,111001001000
235,ref,P,0.09065882535518627,100010111001
236,signal,Q,-,-
237,signal,Q,-,-
238,signal,Q,-,-
239,signal,Q,-,-
240,ref,Q,0.7886885113109162,111001001110
241,ref,P,0.09210559556879293,100010111100
242,signal,Q,-,-
243,signal,Q,-,-
244,signal,Q,-,-
245,signal,Q,-,-
246,ref,Q,0.7851131905058139,111001000111
247,ref,P,0.09713012949630029,100011000110
248,signal,Q,-,-
249,signal,Q,-,-
250,signal,Q,-,-
251,signal,Q,-,-
252,ref,Q,0.781587938150925,111000111111
253,ref,P,0.10195054173421,100011010000
254,signal,Q,-,-
255,signal,Q,-,-
256,signal,Q,-,-
257,signal,Q,-,-
258,ref,Q,0.782086477600779,111001000000
259,ref,P,0.1046357584132613,100011010110
260,signal,Q,-,-
261,signal,Q,-,-
262,signal,Q,-,-
263,signal,Q,-,-
264,ref,Q,0.7795470423106134,111000111011
265,ref,P,0.11118312285292442,100011100011
266,signal,Q,-,-
267,signal,Q,-,-
268,signal,Q,-,-
269,signal,Q,-,-
270,ref,Q,0.7794822967241046,111000111011
271,ref,P,0.11453752677455796,100011101010
272,signal,Q,-,-
273,signal,Q,-,-
274,signal,Q,-,-
275,signal,Q,-,-
276,ref,Q,0.7747421430488759,111000110001
277,ref,P,0.12005858618659554,100011110101
278,signal,Q,-,-
279,signal,Q,-,-
280,signal,Q,-,-
281,signal,Q,-,-
282,ref,Q,0.7749355524634859,111000110010
283,ref,P,0.12105882586587255,100011110111
284,signal,Q,-,-
285,signal,Q,-,-
286,signal,Q,-,-
287,signal,Q,-,-
288,ref,Q,0.7752772050419103,111000110010
289,ref,P,0.12559174282959684,100100000001
290,signal,Q,-,-
291,signal,Q,-,-
292,signal,Q,-,-
293,signal,Q,-,-
294,ref,Q,0.7715033258557504,111000101011
295,ref,P,0.12788869469783676,100100000101
296,signal,Q,-,-
297,signal,Q,-,-
298,signal,Q,-,-
299,signal,Q,-,-
300,ref,Q,0.7727629388760976,111000101101
301,ref,P,0.13083137508015685,100100001011
302,signal,Q,-,-
303,signal,Q,-,-
304,signal,Q,-,-
305,signal,Q,-,-
306,ref,Q,0.7671187619794921,111000100010
307,ref,P,0.13748448200383104,100100011001
308,signal,Q,-,-
309,signal,Q,-,-
310,signal,Q,-,-
311,signal,Q,-,-
312,ref,Q,0.7673463534409756,111000100010
313,ref,P,0.13830253674829432,100100011011
314,signal,Q,-,-
315,signal,Q,-,-
316,signal,Q,-,-
317,signal,Q,-,-
318,ref,Q,0.7689229388253659,111000100101
319,ref,P,0.1379625026262988,100100011010
320,signal,Q,-,-
321,signal,Q,-,-
322,signal,Q,-,-
323,signal,Q,-,-
324,ref,Q,0.7679477702680311,111000100011
325,ref,P,0.13617953019527557,100100010110
326,signal,Q,-,-
327,signal,Q,-,-
328,signal,Q,-,-
329,signal,Q,-,-
